orcid,username,ufirstname,ulastname,uemail,ucity,ucountry,uinstitution,udepartment,phone1,cid,cfullname,cstartdate,cenddate,cshortname,cfacultad,course_uri
0000-0000-0000-0000,ltmartin,Leandro,Tabares Martín,ltmartin@uci.cu,Havana,CU,,,,12,ABCD Development Team,1594512000,0,ABCD-DT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=12
0000-0000-0000-0000,ltmartin,Leandro,Tabares Martín,ltmartin@uci.cu,Havana,CU,,,,14,ABCD 3.0,1576540800,0,abcd30,Communities,https://moodleredtic.uclv.cu/course/view.php?id=14
0000-0000-0000-0000,ltmartin,Leandro,Tabares Martín,ltmartin@uci.cu,Havana,CU,,,,2073,ABCD 3.0 copy 1,1576540800,0,abcd30_1,Communities,https://moodleredtic.uclv.cu/course/view.php?id=2073
0000-0000-0000-0000,reyniercs,Reynier,Carbonell Sánchez,reyniercs@uci.cu,,,,,,14,ABCD 3.0,1576540800,0,abcd30,Communities,https://moodleredtic.uclv.cu/course/view.php?id=14
0000-0000-0000-0000,reyniercs,Reynier,Carbonell Sánchez,reyniercs@uci.cu,,,,,,2073,ABCD 3.0 copy 1,1576540800,0,abcd30_1,Communities,https://moodleredtic.uclv.cu/course/view.php?id=2073
0000-0000-0000-0000,egbert,Egbert,DE SMET,egbert.desmet@uantwerpen.be,Antwerpen,BE,,,,14,ABCD 3.0,1576540800,0,abcd30,Communities,https://moodleredtic.uclv.cu/course/view.php?id=14
0000-0000-0000-0000,egbert,Egbert,DE SMET,egbert.desmet@uantwerpen.be,Antwerpen,BE,,,,2073,ABCD 3.0 copy 1,1576540800,0,abcd30_1,Communities,https://moodleredtic.uclv.cu/course/view.php?id=2073
0000-0000-0000-0000,efdezaguilar,Eduardo,Fernandez Aguilar,eduardo@uho.edu.cu,Holguin,CU,,,,8,Moodle Development Team,1594598400,0,MOODLE-DT,Communities,https://moodleredtic.uclv.cu/course/view.php?id=8
0000-0000-0000-0001,user1,NombreUsuario1,Apellido1,user1@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097291,67,curso #1,1596546965,1603546965,curso#1,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=67
0000-0000-0000-0002,user2,NombreUsuario2,Apellido2,user2@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097292,68,curso #2,1596546965,1603546965,curso#2,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=68
0000-0000-0000-0003,user3,NombreUsuario3,Apellido3,user3@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097293,69,curso #3,1596546966,1603546966,curso#3,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=69
0000-0000-0000-0004,user4,NombreUsuario4,Apellido4,user4@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097294,70,curso #4,1596546966,1603546966,curso#4,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=70
0000-0000-0000-0005,user5,NombreUsuario5,Apellido5,user5@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097295,71,curso #5,1596546966,1603546966,curso#5,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=71
0000-0000-0000-0006,user6,NombreUsuario6,Apellido6,user6@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097296,72,curso #6,1596546966,1603546966,curso#6,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=72
0000-0000-0000-0007,user7,NombreUsuario7,Apellido7,user7@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097297,73,curso #7,1596546967,1603546967,curso#7,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=73
0000-0000-0000-0008,user8,NombreUsuario8,Apellido8,user8@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097298,74,curso #8,1596546967,1603546967,curso#8,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=74
0000-0000-0000-0009,user9,NombreUsuario9,Apellido9,user9@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,58097299,75,curso #9,1596546967,1603546967,curso#9,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=75
0000-0000-0000-0010,user10,NombreUsuario10,Apellido10,user10@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972910,76,curso #10,1596546967,1603546967,curso#10,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=76
0000-0000-0000-0011,user11,NombreUsuario11,Apellido11,user11@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972911,77,curso #11,1596546967,1603546967,curso#11,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=77
0000-0000-0000-0012,user12,NombreUsuario12,Apellido12,user12@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972912,78,curso #12,1596546968,1603546968,curso#12,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=78
0000-0000-0000-0013,user13,NombreUsuario13,Apellido13,user13@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972913,79,curso #13,1596546968,1603546968,curso#13,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=79
0000-0000-0000-0014,user14,NombreUsuario14,Apellido14,user14@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972914,80,curso #14,1596546968,1603546968,curso#14,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=80
0000-0000-0000-0015,user15,NombreUsuario15,Apellido15,user15@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972915,81,curso #15,1596546968,1603546968,curso#15,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=81
0000-0000-0000-0016,user16,NombreUsuario16,Apellido16,user16@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972916,82,curso #16,1596546969,1603546969,curso#16,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=82
0000-0000-0000-0017,user17,NombreUsuario17,Apellido17,user17@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972917,83,curso #17,1596546969,1603546969,curso#17,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=83
0000-0000-0000-0018,user18,NombreUsuario18,Apellido18,user18@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972918,84,curso #18,1596546969,1603546969,curso#18,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=84
0000-0000-0000-0019,user19,NombreUsuario19,Apellido19,user19@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972919,85,curso #19,1596546969,1603546969,curso#19,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=85
0000-0000-0000-0020,user20,NombreUsuario20,Apellido20,user20@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972920,86,curso #20,1596546970,1603546970,curso#20,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=86
0000-0000-0000-0021,user21,NombreUsuario21,Apellido21,user21@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972921,87,curso #21,1596546970,1603546970,curso#21,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=87
0000-0000-0000-0022,user22,NombreUsuario22,Apellido22,user22@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972922,88,curso #22,1596546970,1603546970,curso#22,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=88
0000-0000-0000-0023,user23,NombreUsuario23,Apellido23,user23@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972923,89,curso #23,1596546970,1603546970,curso#23,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=89
0000-0000-0000-0024,user24,NombreUsuario24,Apellido24,user24@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972924,90,curso #24,1596546970,1603546970,curso#24,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=90
0000-0000-0000-0025,user25,NombreUsuario25,Apellido25,user25@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972925,91,curso #25,1596546971,1603546971,curso#25,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=91
0000-0000-0000-0026,user26,NombreUsuario26,Apellido26,user26@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972926,92,curso #26,1596546971,1603546971,curso#26,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=92
0000-0000-0000-0027,user27,NombreUsuario27,Apellido27,user27@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972927,93,curso #27,1596546971,1603546971,curso#27,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=93
0000-0000-0000-0028,user28,NombreUsuario28,Apellido28,user28@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972928,94,curso #28,1596546972,1603546972,curso#28,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=94
0000-0000-0000-0029,user29,NombreUsuario29,Apellido29,user29@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972929,95,curso #29,1596546972,1603546972,curso#29,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=95
0000-0000-0000-0030,user30,NombreUsuario30,Apellido30,user30@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972930,96,curso #30,1596546972,1603546972,curso#30,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=96
0000-0000-0000-0031,user31,NombreUsuario31,Apellido31,user31@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972931,97,curso #31,1596546972,1603546972,curso#31,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=97
0000-0000-0000-0032,user32,NombreUsuario32,Apellido32,user32@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972932,98,curso #32,1596546972,1603546972,curso#32,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=98
0000-0000-0000-0033,user33,NombreUsuario33,Apellido33,user33@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972933,99,curso #33,1596546973,1603546973,curso#33,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=99
0000-0000-0000-0034,user34,NombreUsuario34,Apellido34,user34@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972934,100,curso #34,1596546973,1603546973,curso#34,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=100
0000-0000-0000-0035,user35,NombreUsuario35,Apellido35,user35@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972935,101,curso #35,1596546973,1603546973,curso#35,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=101
0000-0000-0000-0036,user36,NombreUsuario36,Apellido36,user36@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972936,102,curso #36,1596546973,1603546973,curso#36,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=102
0000-0000-0000-0037,user37,NombreUsuario37,Apellido37,user37@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972937,103,curso #37,1596546973,1603546973,curso#37,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=103
0000-0000-0000-0038,user38,NombreUsuario38,Apellido38,user38@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972938,104,curso #38,1596546974,1603546974,curso#38,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=104
0000-0000-0000-0039,user39,NombreUsuario39,Apellido39,user39@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972939,105,curso #39,1596546974,1603546974,curso#39,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=105
0000-0000-0000-0040,user40,NombreUsuario40,Apellido40,user40@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972940,106,curso #40,1596546974,1603546974,curso#40,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=106
0000-0000-0000-0041,user41,NombreUsuario41,Apellido41,user41@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972941,107,curso #41,1596546974,1603546974,curso#41,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=107
0000-0000-0000-0042,user42,NombreUsuario42,Apellido42,user42@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972942,108,curso #42,1596546975,1603546975,curso#42,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=108
0000-0000-0000-0043,user43,NombreUsuario43,Apellido43,user43@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972943,109,curso #43,1596546975,1603546975,curso#43,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=109
0000-0000-0000-0044,user44,NombreUsuario44,Apellido44,user44@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972944,110,curso #44,1596546975,1603546975,curso#44,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=110
0000-0000-0000-0045,user45,NombreUsuario45,Apellido45,user45@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972945,111,curso #45,1596546975,1603546975,curso#45,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=111
0000-0000-0000-0046,user46,NombreUsuario46,Apellido46,user46@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972946,112,curso #46,1596546975,1603546975,curso#46,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=112
0000-0000-0000-0047,user47,NombreUsuario47,Apellido47,user47@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972947,113,curso #47,1596546976,1603546976,curso#47,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=113
0000-0000-0000-0048,user48,NombreUsuario48,Apellido48,user48@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972948,114,curso #48,1596546976,1603546976,curso#48,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=114
0000-0000-0000-0049,user49,NombreUsuario49,Apellido49,user49@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972949,115,curso #49,1596546976,1603546976,curso#49,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=115
0000-0000-0000-0050,user50,NombreUsuario50,Apellido50,user50@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972950,116,curso #50,1596546976,1603546976,curso#50,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=116
0000-0000-0000-0051,user51,NombreUsuario51,Apellido51,user51@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972951,117,curso #51,1596546977,1603546977,curso#51,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=117
0000-0000-0000-0052,user52,NombreUsuario52,Apellido52,user52@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972952,118,curso #52,1596546977,1603546977,curso#52,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=118
0000-0000-0000-0053,user53,NombreUsuario53,Apellido53,user53@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972953,119,curso #53,1596546977,1603546977,curso#53,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=119
0000-0000-0000-0054,user54,NombreUsuario54,Apellido54,user54@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972954,120,curso #54,1596546977,1603546977,curso#54,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=120
0000-0000-0000-0055,user55,NombreUsuario55,Apellido55,user55@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972955,121,curso #55,1596546978,1603546978,curso#55,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=121
0000-0000-0000-0056,user56,NombreUsuario56,Apellido56,user56@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972956,122,curso #56,1596546978,1603546978,curso#56,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=122
0000-0000-0000-0057,user57,NombreUsuario57,Apellido57,user57@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972957,123,curso #57,1596546978,1603546978,curso#57,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=123
0000-0000-0000-0058,user58,NombreUsuario58,Apellido58,user58@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972958,124,curso #58,1596546978,1603546978,curso#58,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=124
0000-0000-0000-0059,user59,NombreUsuario59,Apellido59,user59@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972959,125,curso #59,1596546978,1603546978,curso#59,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=125
0000-0000-0000-0060,user60,NombreUsuario60,Apellido60,user60@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972960,126,curso #60,1596546979,1603546979,curso#60,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=126
0000-0000-0000-0061,user61,NombreUsuario61,Apellido61,user61@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972961,127,curso #61,1596546979,1603546979,curso#61,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=127
0000-0000-0000-0062,user62,NombreUsuario62,Apellido62,user62@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972962,128,curso #62,1596546979,1603546979,curso#62,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=128
0000-0000-0000-0063,user63,NombreUsuario63,Apellido63,user63@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972963,129,curso #63,1596546979,1603546979,curso#63,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=129
0000-0000-0000-0064,user64,NombreUsuario64,Apellido64,user64@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972964,130,curso #64,1596546980,1603546980,curso#64,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=130
0000-0000-0000-0065,user65,NombreUsuario65,Apellido65,user65@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972965,131,curso #65,1596546980,1603546980,curso#65,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=131
0000-0000-0000-0066,user66,NombreUsuario66,Apellido66,user66@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972966,132,curso #66,1596546980,1603546980,curso#66,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=132
0000-0000-0000-0067,user67,NombreUsuario67,Apellido67,user67@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972967,133,curso #67,1596546980,1603546980,curso#67,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=133
0000-0000-0000-0068,user68,NombreUsuario68,Apellido68,user68@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972968,134,curso #68,1596546981,1603546981,curso#68,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=134
0000-0000-0000-0069,user69,NombreUsuario69,Apellido69,user69@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972969,135,curso #69,1596546981,1603546981,curso#69,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=135
0000-0000-0000-0070,user70,NombreUsuario70,Apellido70,user70@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972970,136,curso #70,1596546981,1603546981,curso#70,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=136
0000-0000-0000-0071,user71,NombreUsuario71,Apellido71,user71@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972971,137,curso #71,1596546981,1603546981,curso#71,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=137
0000-0000-0000-0072,user72,NombreUsuario72,Apellido72,user72@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972972,138,curso #72,1596546981,1603546981,curso#72,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=138
0000-0000-0000-0073,user73,NombreUsuario73,Apellido73,user73@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972973,139,curso #73,1596546982,1603546982,curso#73,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=139
0000-0000-0000-0074,user74,NombreUsuario74,Apellido74,user74@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972974,140,curso #74,1596546982,1603546982,curso#74,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=140
0000-0000-0000-0075,user75,NombreUsuario75,Apellido75,user75@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972975,141,curso #75,1596546982,1603546982,curso#75,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=141
0000-0000-0000-0076,user76,NombreUsuario76,Apellido76,user76@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972976,142,curso #76,1596546983,1603546983,curso#76,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=142
0000-0000-0000-0077,user77,NombreUsuario77,Apellido77,user77@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972977,143,curso #77,1596546983,1603546983,curso#77,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=143
0000-0000-0000-0078,user78,NombreUsuario78,Apellido78,user78@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972978,144,curso #78,1596546983,1603546983,curso#78,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=144
0000-0000-0000-0079,user79,NombreUsuario79,Apellido79,user79@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972979,145,curso #79,1596546983,1603546983,curso#79,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=145
0000-0000-0000-0080,user80,NombreUsuario80,Apellido80,user80@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972980,146,curso #80,1596546983,1603546983,curso#80,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=146
0000-0000-0000-0081,user81,NombreUsuario81,Apellido81,user81@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972981,147,curso #81,1596546984,1603546984,curso#81,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=147
0000-0000-0000-0082,user82,NombreUsuario82,Apellido82,user82@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972982,148,curso #82,1596546984,1603546984,curso#82,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=148
0000-0000-0000-0083,user83,NombreUsuario83,Apellido83,user83@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972983,149,curso #83,1596546984,1603546984,curso#83,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=149
0000-0000-0000-0084,user84,NombreUsuario84,Apellido84,user84@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972984,150,curso #84,1596546984,1603546984,curso#84,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=150
0000-0000-0000-0085,user85,NombreUsuario85,Apellido85,user85@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972985,151,curso #85,1596546985,1603546985,curso#85,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=151
0000-0000-0000-0086,user86,NombreUsuario86,Apellido86,user86@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972986,152,curso #86,1596546985,1603546985,curso#86,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=152
0000-0000-0000-0087,user87,NombreUsuario87,Apellido87,user87@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972987,153,curso #87,1596546985,1603546985,curso#87,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=153
0000-0000-0000-0088,user88,NombreUsuario88,Apellido88,user88@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972988,154,curso #88,1596546985,1603546985,curso#88,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=154
0000-0000-0000-0089,user89,NombreUsuario89,Apellido89,user89@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972989,155,curso #89,1596546986,1603546986,curso#89,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=155
0000-0000-0000-0090,user90,NombreUsuario90,Apellido90,user90@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972990,156,curso #90,1596546986,1603546986,curso#90,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=156
0000-0000-0000-0091,user91,NombreUsuario91,Apellido91,user91@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972991,157,curso #91,1596546986,1603546986,curso#91,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=157
0000-0000-0000-0092,user92,NombreUsuario92,Apellido92,user92@uclv.cu,Santa Clara,CU,Universidad de las Villas,Humanidades,580972992,158,curso #92,1596546986,1603546986,curso#92,Primer Periodo,https://moodleredtic.uclv.cu/course/view.php?id=158
